Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,182.93,-0.0004427210284734251,181.66357142857143,174.10240000000002
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,183.04,0.0005907229800330427,181.9,174.37939999999998
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,184.73,0.009250085509230344,182.39714285714285,174.63459999999998
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,185.54,0.0043878027310895185,182.89000000000001,174.97979999999998
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,185.09,-0.0024269183909525482,183.34,175.3116
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,186.36,0.006811919915939768,183.67499999999998,175.71200000000002
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,185.75,-0.003237947152149978,183.9828571428571,176.0816
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,183.9,-0.009987973818411211,184.18,176.34560000000002
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,185.91,0.010921143074110073,184.44571428571427,176.7014
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,183.68,-0.011965718803309877,184.46928571428572,176.9666
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,184.18,0.002696780311966851,184.47714285714284,177.27900000000002
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,183.74,-0.0023472780083695355,184.435,177.565
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,185.45,0.00931279568311072,184.52214285714285,177.80259999999998
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,187.33,0.010101068277159397,184.8307142857143,178.07899999999998
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,187.34,4.7895490085769765e-05,185.1457142857143,178.41819999999998
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,187.13,-0.0011056160637038515,185.43785714285715,178.73280000000003
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,188.44,0.007026728542278704,185.70285714285714,179.0682
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,189.04,0.0031542719554900067,185.95285714285714,179.481
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,189.22,0.0009529518948172555,186.24785714285713,179.94259999999997
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,188.2,-0.005378495806560246,186.37928571428574,180.3838
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,188.2,0.0,186.55428571428573,180.8278
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,187.88,-0.0017228012818568672,186.83857142857144,181.3086
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,188.16,0.0014862662903516455,186.9992857142857,181.72740000000002
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,188.54,0.002058140627796634,187.34642857142856,182.0974
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,186.83,-0.009075692846758465,187.53571428571428,182.37760000000003
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,185.82,-0.005398852312049063,187.68428571428572,182.6518
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,187.3,0.007948160330243592,187.81642857142856,182.9572
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,185.67,-0.008703003301518408,187.69785714285715,183.1802
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,184.64,-0.005578507591430082,187.50499999999997,183.4266
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,184.6,-0.00019487202288148708,187.3242857142857,183.6564
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,185.27,0.003658902200391889,187.09785714285712,183.8578
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,185.43,0.0008265418431454563,186.83999999999997,184.0704
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,187.73,0.012433806180810913,186.73357142857142,184.3564
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,185.98,-0.009354814850336735,186.575,184.52579999999998
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,186.03,0.0002905270222539613,186.42000000000002,184.68040000000002
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,184.41,-0.008713935406737816,186.17214285714286,184.7886
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,186.23,0.009865129264842842,186.03428571428572,184.9216
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,184.49,-0.009333763658544325,185.74499999999998,185.0168
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,184.55,0.00029278442704439023,185.58214285714286,185.15240000000003
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,183.91,-0.003464924563517102,185.44571428571427,185.25779999999997
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,185.07,0.006317475439207687,185.2864285714286,185.3834
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,184.82,-0.001362319189498029,185.22571428571428,185.44639999999998
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,187.21,0.012961957995746287,185.4092857142857,185.5618
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,188.48,0.0067831630064418835,185.68642857142854,185.70860000000002
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,188.53,0.0002867487276436709,185.9192857142857,185.83539999999996
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,189.35,0.00429935042757168,186.1992857142857,185.95539999999997
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,188.99,-0.0019027407816073483,186.28928571428574,186.05379999999997
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,189.37,0.0020491983621593324,186.53142857142856,186.1546
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,189.95,0.003043822388580253,186.81142857142854,186.269
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,189.38,-0.0029871903308410497,187.16642857142855,186.3964
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,190.35,0.00508858821488567,187.46071428571426,186.5448
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,190.64,0.0015611901984993182,187.9,186.6968
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,191.26,0.0032596623705012373,188.37928571428571,186.8274
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,191.0,-0.0013654141979780876,188.8857142857143,186.9366
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,189.19,-0.009477498898945225,189.18,187.0186
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,187.73,-0.007711808168912926,189.38785714285714,187.046
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,187.36,-0.001966709717482029,189.39857142857142,187.0782
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500,187.1,-0.0013941583470374885,189.3,187.14219999999997
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100,187.66,0.0029844297500549732,189.23785714285714,187.1772
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700,186.96,-0.0037242544234211694,189.06714285714287,187.2428
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600,188.17,0.0064400152585954995,189.00857142857143,187.3226
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700,188.7,0.002838706245396949,188.96071428571426,187.4218
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500,188.39,-0.0016310764085429863,188.8492857142857,187.4806
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400,190.85,0.013022385518044022,188.95428571428573,187.55100000000002
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400,183.99,-0.03590913779084037,188.5,187.484
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800,180.7,-0.017909774655577748,187.79,187.35539999999997
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400,183.96,0.018036083651651102,187.26857142857142,187.2658
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600,187.09,0.017027583090351905,186.9892857142857,187.2268
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900,189.64,0.01364546153505497,187.02142857142854,187.2352
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300,190.04,0.0021007563253814254,187.18642857142854,187.27200000000002
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700,188.67,-0.007193550277851624,187.28,187.28140000000002
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500,189.81,0.005997946768343754,187.4735714285714,187.32
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800,189.69,-0.0006201432230179549,187.6185714285714,187.35060000000001
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000,192.51,0.014890501014049429,188.01500000000001,187.43
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900,193.19,0.0035269014113867847,188.37357142857144,187.55719999999997
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600,194.59,0.007263354720347337,188.7942857142857,187.7326
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100,194.57,-0.00013949751880260042,189.2357142857143,187.878
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900,195.65,0.005583424096488265,189.57857142857142,188.0776
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400,195.39,-0.0013421896533477584,190.39285714285714,188.29260000000002
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900,195.92,0.0026875185326245,191.48000000000002,188.519
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700,195.72,-0.0010164698332143507,192.32,188.72799999999998
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500,196.53,0.004163027061819813,192.99428571428572,188.95
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300,195.79,-0.003777053530230612,193.43357142857144,189.1112
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500,196.67,0.0044849158299906655,193.90714285714287,189.325
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100,196.13,-0.002715928117323796,194.44,189.52700000000002
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500,196.22,0.00046149866478906176,194.89785714285716,189.76319999999998
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900,196.02,-0.0010611439280848733,195.35,189.959
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700,196.24,0.001154750860983711,195.61642857142854,190.19400000000002
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400,196.56,0.0016145843660180237,195.85714285714286,190.43419999999998
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400,196.4,-0.000828852803132496,195.98642857142858,190.68399999999997
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500,195.14,-0.006407436013240009,196.02714285714288,190.8854
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600,195.71,0.002922701020830143,196.03142857142853,191.1032
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500,195.92,0.0010638637942474993,196.0692857142857,191.27739999999997
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200,197.52,0.008178956636669454,196.1835714285714,191.4582
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500,197.4,-0.000595772011832918,196.30357142857142,191.6356
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700,197.52,0.0005961271677148439,196.3742857142857,191.799
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100,197.03,-0.002474864130067367,196.46285714285713,191.9598
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300,197.94,0.004640924659669254,196.55357142857142,192.13119999999998
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500,197.77,-0.0008693045309366987,196.6707142857143,192.2876
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500,198.34,0.002883692064029386,196.82214285714284,192.4668
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600,197.32,-0.005157656961113588,196.915,192.6062
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300,197.69,0.0018812208579734868,197.01857142857145,192.74720000000002
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300,198.13,0.002243933094794537,197.13071428571428,192.88459999999998
